,sequence_id,protein_family,filename
60,WP_011385071.1,NapD,NapD.faa
61,WP_014492511.1,NapD,NapD.faa
62,WP_020914434.1,NapD,NapD.faa
63,WP_011638005.1,NapD,NapD.faa
64,WP_050666260.1,NapD,NapD.faa
65,WP_013704588.1,NapD,NapD.faa
66,WP_061903690.1,NapD,NapD.faa
67,WP_038480369.1,NapD,NapD.faa
68,WP_024080230.1,NapD,NapD.faa
69,WP_013347127.1,NapD,NapD.faa
70,WP_038642193.1,NapD,NapD.faa
71,WP_047781632.1,NapD,NapD.faa
72,WP_035682935.1,NapD,NapD.faa
73,WP_041419895.1,NapD,NapD.faa
74,WP_013347134.1,NapD,NapD.faa
75,WP_011770476.1,NapD,NapD.faa
76,WP_041409749.1,NapD,NapD.faa
77,WP_013347130.1,NapD,NapD.faa
78,YP_002408305.1,NapD,NapD.faa
79,YP_006120589.1,NapD,NapD.faa
80,WP_081433624.1,NapD,NapD.faa
81,WP_011471428.1,NapD,NapD.faa
82,WP_012341328.1,NapD,NapD.faa
83,WP_013792028.1,NapD,NapD.faa
84,WP_040529065.1,NapD,NapD.faa
85,WP_043108859.1,NapD,NapD.faa
86,NP_249866.1,NapD,NapD.faa
87,WP_034793133.1,NapD,NapD.faa
88,WP_046858765.1,NapD,NapD.faa
89,WP_025266826.1,NapD,NapD.faa
90,NP_773677.1,NapD,NapD.faa
91,WP_007090076.1,NapD,NapD.faa
92,WP_004722290.1,NapD,NapD.faa
93,WP_077292652.1,NapD,NapD.faa
94,YP_006896444.1,NapD,NapD.faa
95,YP_006966684.1,NapD,NapD.faa
96,WP_005718372.1,NapD,NapD.faa
97,WP_041714923.1,NapD,NapD.faa
98,NP_456805.1,NapD,NapD.faa
99,NP_461203.1,NapD,NapD.faa
100,WP_005713334.1,NapD,NapD.faa
101,WP_011289241.1,NapD,NapD.faa
102,WP_012179826.1,NapD,NapD.faa
103,WP_020912856.1,NapD,NapD.faa
104,YP_002347959.1,NapD,NapD.faa
105,WP_015669148.1,NapD,NapD.faa
106,WP_055731521.1,NapD,NapD.faa
107,WP_041065949.1,NapD,NapD.faa
108,WP_015673321.1,NapD,NapD.faa
109,YP_001005482.1,NapD,NapD.faa
110,WP_049773482.1,NapD,NapD.faa
111,WP_015840623.1,NapD,NapD.faa
112,WP_012676700.1,NapD,NapD.faa
113,WP_044621565.1,NapD,NapD.faa
114,WP_065210541.1,NapD,NapD.faa
115,WP_006747740.1,NapD,NapD.faa
116,WP_052470071.1,NapD,NapD.faa
117,WP_041406610.1,NapD,NapD.faa
118,WP_081454365.1,NapD,NapD.faa
119,NP_438507.1,NapD,NapD.faa
120,WP_043081755.1,NapD,NapD.faa
121,WP_083218553.1,NapD,NapD.faa
122,WP_035682956.1,NapD,NapD.faa
123,WP_011115006.1,NapD,NapD.faa
124,WP_010944137.1,NapD,NapD.faa
125,WP_006248701.1,NapD,NapD.faa
126,WP_047194200.1,NapD,NapD.faa
127,WP_084018207.1,NapD,NapD.faa
128,WP_066449302.1,NapD,NapD.faa
129,WP_002443526.1,NapD,NapD.faa
130,YP_001313889.1,NapD,NapD.faa
131,WP_012155660.1,NapD,NapD.faa
132,WP_015674344.1,NapD,NapD.faa
133,WP_060826351.1,NapD,NapD.faa
134,WP_013449883.1,NapD,NapD.faa
135,WP_025344103.1,NapD,NapD.faa
136,WP_011495939.1,NapD,NapD.faa
137,WP_011201431.1,NapD,NapD.faa
138,WP_013165984.1,NapD,NapD.faa
139,WP_002956936.1,NapD,NapD.faa
140,WP_005548831.1,NapD,NapD.faa
141,YP_002825544.1,NapD,NapD.faa
142,WP_052717875.1,NapD,NapD.faa
143,WP_013134392.1,NapD,NapD.faa
144,WP_014768984.1,NapD,NapD.faa
145,WP_038645513.1,NapD,NapD.faa
146,WP_024091942.1,NapD,NapD.faa
147,WP_012856530.1,NapD,NapD.faa
148,WP_004257677.1,NapD,NapD.faa
149,NP_435921.1,NapD,NapD.faa
150,WP_041641020.1,NapD,NapD.faa
151,WP_012073761.1,NapD,NapD.faa
152,WP_067964980.1,NapD,NapD.faa
153,WP_012663561.1,NapD,NapD.faa
154,WP_011767665.1,NapD,NapD.faa
155,WP_013554537.1,NapD,NapD.faa
156,NP_356247.1,NapD,NapD.faa
157,WP_013459548.1,NapD,NapD.faa
158,WP_034327328.1,NapD,NapD.faa
159,WP_012558633.1,NapD,NapD.faa
160,WP_011910166.1,NapD,NapD.faa
161,WP_045581611.1,NapD,NapD.faa
162,WP_083499374.1,NapD,NapD.faa
163,WP_011750940.1,NapD,NapD.faa
164,WP_083772688.1,NapD,NapD.faa
165,WP_023788096.1,NapD,NapD.faa
166,WP_013327045.1,NapD,NapD.faa
167,WP_015760753.1,NapD,NapD.faa
168,WP_015046504.1,NapD,NapD.faa
169,WP_011373150.1,NapD,NapD.faa
170,WP_004510410.1,NapD,NapD.faa
171,WP_012565687.1,NapD,NapD.faa
172,WP_011911097.1,NapD,NapD.faa
173,WP_052142111.1,NapD,NapD.faa
174,WP_052830120.1,NapD,NapD.faa
175,WP_066664241.1,NapD,NapD.faa
176,WP_013468897.1,NapD,NapD.faa
177,WP_012250967.1,NapD,NapD.faa
178,WP_089418399.1,NapD,NapD.faa
179,WP_089187927.1,NapD,NapD.faa
180,WP_015404525.1,NapD,NapD.faa
181,WP_011041896.1,NapD,NapD.faa
182,WP_087459424.1,NapD,NapD.faa
183,WP_012469128.1,NapD,NapD.faa
184,WP_011992546.1,NapD,NapD.faa
185,WP_038454620.1,NapD,NapD.faa
186,WP_011397185.1,NapD,NapD.faa
187,WP_013023439.1,NapD,NapD.faa
188,WP_013908807.1,NapD,NapD.faa
189,WP_012661719.1,NapD,NapD.faa
190,WP_068548602.1,NapD,NapD.faa
191,WP_057972179.1,NapD,NapD.faa
192,WP_067648911.1,NapD,NapD.faa
193,WP_054196381.1,NapD,NapD.faa
194,WP_012797921.1,NapD,NapD.faa
195,YP_002344192.1,NapD,NapD.faa
196,WP_039739991.1,NapD,NapD.faa
197,WP_039650344.1,NapD,NapD.faa
198,WP_002776683.1,NapD,NapD.faa
199,WP_066778185.1,NapD,NapD.faa
200,WP_063997939.1,NapD,NapD.faa
201,WP_080142972.1,NapD,NapD.faa
202,WP_083762909.1,NapD,NapD.faa
203,WP_034962650.1,NapD,NapD.faa
204,WP_066389236.1,NapD,NapD.faa
205,WP_010617573.1,NapD,NapD.faa
206,WP_083845794.1,NapD,NapD.faa
207,WP_013534069.1,NapD,NapD.faa
208,WP_083782942.1,NapD,NapD.faa
209,WP_005869237.1,NapD,NapD.faa
210,WP_039665721.1,NapD,NapD.faa
211,WP_068545982.1,NapD,NapD.faa
212,WP_082199788.1,NapD,NapD.faa
213,WP_083755266.1,NapD,NapD.faa
214,WP_015261526.1,NapD,NapD.faa
215,WP_027306402.1,NapD,NapD.faa
216,WP_082793614.1,NapD,NapD.faa
217,WP_050334579.1,NapD,NapD.faa
218,WP_052631169.1,NapD,NapD.faa
219,WP_082351244.1,NapD,NapD.faa
220,WP_014659613.1,NapD,NapD.faa
221,WP_013885483.1,NapD,NapD.faa
222,WP_084211657.1,NapD,NapD.faa
223,WP_078387422.1,NapD,NapD.faa
224,WP_014661306.1,NapD,NapD.faa
225,WP_011195050.1,NapD,NapD.faa
226,WP_005808112.1,NapD,NapD.faa
227,WP_013451987.1,NapD,NapD.faa
228,WP_014431033.1,NapD,NapD.faa
229,WP_013537182.1,NapD,NapD.faa
230,WP_014793138.1,NapD,NapD.faa
231,WP_013008521.1,NapD,NapD.faa
232,WP_013009441.1,NapD,NapD.faa
233,WP_013505383.1,NapD,NapD.faa
234,WP_012624253.1,NapD,NapD.faa
235,WP_048094497.1,NapD,NapD.faa
236,WP_012873113.1,NapD,NapD.faa
237,WP_074777064.1,NapD,NapD.faa
238,WP_048092616.1,NapD,NapD.faa
239,WP_014811889.1,NapD,NapD.faa
240,WP_062251802.1,NapD,NapD.faa
241,WP_012964872.1,NapD,NapD.faa
242,WP_006930758.1,NapD,NapD.faa
243,WP_008280588.1,NapD,NapD.faa
244,WP_012642691.1,NapD,NapD.faa
245,WP_015591569.1,NapD,NapD.faa
246,WP_054730882.1,NapD,NapD.faa
247,WP_068206598.1,NapD,NapD.faa
248,WP_062373186.1,NapD,NapD.faa
249,WP_067966119.1,NapD,NapD.faa
250,WP_015405500.1,NapD,NapD.faa
251,WP_014349551.1,NapD,NapD.faa
252,WP_013164113.1,NapD,NapD.faa
